date,open,high,low,close,volume,hold,settle,return
2013/10/18,978,984,962,977,300818,65042,975,-0.008188332
2013/10/21,976,977,960,969,95432,68130,967,-0.021671827
2013/10/22,963,966,948,948,91296,76004,956,-0.009493671
2013/10/23,949,953,936,939,116490,81162,944,-0.013844515
2013/10/24,938,939,916,926,169028,87872,928,-0.008639309
2013/10/25,928,936,917,918,104060,86472,927,0.005446623
2013/10/28,920,928,917,923,83790,93480,922,-0.002166847
2013/10/29,924,925,913,921,105876,99058,917,0.003257329
2013/10/30,919,930,916,924,118272,91262,922,-0.002164502
2013/10/31,925,927,920,922,74672,84820,923,0.021691974
2013/11/1,921,954,921,942,321242,107582,942,0.008492569
2013/11/4,943,957,942,950,175080,122298,949,-0.004210526
2013/11/5,948,954,943,946,108384,121942,947,-0.002114165
2013/11/6,949,951,942,944,69362,123650,945,0.001059322
2013/11/7,945,947,939,945,91676,124958,944,-0.006349206
2013/11/8,947,948,936,939,66340,120532,940,0.003194888
2013/11/11,940,944,934,942,57564,112342,938,0.001061571
2013/11/12,940,944,936,943,45594,107938,939,0
2013/11/13,941,952,940,943,96484,110812,946,-0.006362672
2013/11/14,940,944,937,937,55752,103446,940,-0.006403415
2013/11/15,939,942,930,931,76014,102752,935,0.001074114
2013/11/18,931,935,925,932,52704,99378,930,0.010729614
2013/11/19,931,943,930,942,60164,106904,936,-0.010615711
2013/11/21,942,943,932,932,41322,105090,935,-0.001072961
2013/11/22,934,935,929,931,52592,106092,932,0.002148228
2013/11/25,933,936,928,933,38196,104188,932,0.008574491
2013/11/26,934,943,934,941,72650,108162,939,-0.005313496
2013/11/27,940,942,933,936,30614,106536,936,0.003205128
2013/11/28,933,940,933,939,27220,105728,937,0
2013/11/29,939,945,939,939,33364,106418,941,-0.003194888
2013/12/2,940,941,934,936,41520,108744,936,0.003205128
2013/12/3,938,941,936,939,35426,105336,938,0.013844515
2013/12/4,942,955,941,952,94420,114382,949,-0.007352941
2013/12/5,953,956,944,945,52990,114538,948,-0.004232804
2013/12/6,944,945,938,941,40044,108430,940,0.004250797
2013/12/9,941,946,940,945,19390,112378,943,-0.003174603
